transaction_id,merchant_id,transaction_date,amount,status,channel,cancellation_reason,reference_date,fla_churn90,last_complaint_date,segment,mcc,dat_process
700163,90004,2024-09-02,"2.114,23",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-09-02
700068,90002,2024-09-07,"1.192,86",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-09-08
700164,90004,2024-09-07,"2.549,25",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-09-07
700012,90001,2024-09-08,"173,11",reversed,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-09-08
700069,90002,2024-09-12,"1.106,88",reversed,pos,,2025-09-30,0,,Enterprise,5411,2024-09-12
700165,90004,2024-09-12,"2.502,39",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-09-12
700013,90001,2024-09-15,"154,25",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-09-15
700070,90002,2024-09-18,"1.124,93",approved,pos,,2025-09-30,0,,Enterprise,5411,2024-09-18
700166,90004,2024-09-18,"2.789,86",approved,pos,,2025-09-30,0,,Enterprise,5812,2024-09-18
700014,90001,2024-09-22,"153,77",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-09-22
700071,90002,2024-09-23,"1.212,03",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-09-23
700167,90004,2024-09-23,"2.684,56",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-09-23
700015,90001,2024-09-29,"165,24",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-09-29
700072,90002,2024-09-29,"1.148,89",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-09-29
700168,90004,2024-09-29,"2.192,23",approved,pos,,2025-09-30,0,,Enterprise,5812,2024-09-29
700016,90001,2025-01-02,"158,19",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-01-02
700073,90002,2025-01-02,"1.152,10",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-01-03
700169,90004,2025-01-02,"2.838,29",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-01-02
700074,90002,2025-01-07,"1.083,25",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-01-07
700170,90004,2025-01-07,"2.676,45",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-01-08
700017,90001,2025-01-09,"168,86",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-01-09
700075,90002,2025-01-13,"949,22",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-01-13
700171,90004,2025-01-13,"2.739,10",reversed,ecom,,2025-09-30,0,,Enterprise,5812,2025-01-13
700018,90001,2025-01-16,"175,45",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-01-16
700076,90002,2025-01-18,"1.027,50",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-01-18
700172,90004,2025-01-18,"2.553,30",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-01-18
700019,90001,2025-01-23,"146,13",reversed,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-01-24
700077,90002,2025-01-24,"1.159,77",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-01-24
700173,90004,2025-01-24,"2.565,08",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-01-24
700020,90001,2025-01-30,"146,21",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-01-31
700078,90002,2025-01-30,"955,57",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-01-30
700174,90004,2025-01-30,"2.230,10",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-01-31
700021,90001,2025-02-02,"142,86",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-02-03
700079,90002,2025-02-02,"1.106,94",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-02-02
700175,90004,2025-02-02,"2.637,80",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-02-03
700080,90002,2025-02-07,"1.069,00",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-02-07
700176,90004,2025-02-07,"2.650,97",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-02-07
700022,90001,2025-02-08,"171,86",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-02-09
700081,90002,2025-02-12,"1.222,69",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-02-12
700177,90004,2025-02-12,"2.813,42",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-02-12
700023,90001,2025-02-14,"146,53",reversed,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-02-14
700082,90002,2025-02-17,"1.044,07",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-02-17
700178,90004,2025-02-17,"2.439,94",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-02-18
700024,90001,2025-02-20,"172,28",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-02-20
700083,90002,2025-02-22,"1.231,48",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-02-22
700179,90004,2025-02-22,"2.740,58",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-02-23
700025,90001,2025-02-27,"174,02",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-02-28
700084,90002,2025-02-27,"1.216,95",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-02-28
700180,90004,2025-02-27,"2.567,17",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-02-28
700026,90001,2025-03-02,"164,60",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-03-02
700085,90002,2025-03-02,"1.195,90",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-03-02
700181,90004,2025-03-02,"2.236,01",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-03-03
700086,90002,2025-03-07,"1.025,37",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-03-07
700182,90004,2025-03-07,"2.520,36",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-03-07
700027,90001,2025-03-09,"168,65",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-03-10
700087,90002,2025-03-13,"1.221,10",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-03-14
700183,90004,2025-03-13,"2.814,40",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-03-13
700028,90001,2025-03-16,"172,89",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-03-16
700088,90002,2025-03-18,"1.052,77",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-03-18
700184,90004,2025-03-18,"2.211,04",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-03-18
700029,90001,2025-03-23,"157,78",reversed,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-03-24
700089,90002,2025-03-24,"944,95",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-03-24
700185,90004,2025-03-24,"2.897,68",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-03-24
700030,90001,2025-03-30,"182,65",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-03-30
700090,90002,2025-03-30,"1.256,92",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-03-31
700186,90004,2025-03-30,"2.718,91",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-03-31
700031,90001,2025-04-02,"177,78",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-04-02
700091,90002,2025-04-02,"1.172,94",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-04-02
700127,90003,2025-04-02,"211,66",approved,ecom,,2025-09-30,0,,SMB,5691,2025-04-02
700187,90004,2025-04-02,"2.861,55",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-04-03
700092,90002,2025-04-07,"984,56",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-04-08
700188,90004,2025-04-07,"2.901,98",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-04-08
700032,90001,2025-04-08,"143,34",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-04-08
700128,90003,2025-04-11,"245,34",reversed,pos,,2025-09-30,0,,SMB,5691,2025-04-11
700093,90002,2025-04-12,"958,82",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-04-13
700189,90004,2025-04-12,"2.673,85",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-04-13
700033,90001,2025-04-15,"164,75",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-04-16
700094,90002,2025-04-18,"1.091,76",reversed,ecom,,2025-09-30,0,,Enterprise,5411,2025-04-18
700190,90004,2025-04-18,"2.382,37",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-04-18
700129,90003,2025-04-20,"249,77",approved,pos,,2025-09-30,0,,SMB,5691,2025-04-20
700034,90001,2025-04-22,"178,18",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-04-22
700095,90002,2025-04-23,"1.031,10",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-04-23
700191,90004,2025-04-23,"2.509,52",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-04-24
700035,90001,2025-04-29,"147,56",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-04-30
700096,90002,2025-04-29,"1.067,66",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-04-30
700130,90003,2025-04-29,"232,13",approved,ecom,,2025-09-30,0,,SMB,5691,2025-04-29
700192,90004,2025-04-29,"2.822,50",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-04-30
700036,90001,2025-05-02,"175,17",reversed,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-05-02
700097,90002,2025-05-02,"1.165,01",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-05-03
700131,90003,2025-05-02,"208,53",approved,ecom,,2025-09-30,0,,SMB,5691,2025-05-03
700193,90004,2025-05-02,"2.501,17",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-05-03
700098,90002,2025-05-07,"1.125,90",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-05-08
700194,90004,2025-05-07,"2.664,61",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-05-07
700037,90001,2025-05-09,"142,16",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-05-10
700132,90003,2025-05-11,"242,31",approved,pos,,2025-09-30,0,,SMB,5691,2025-05-12
700099,90002,2025-05-13,"1.141,84",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-05-14
700195,90004,2025-05-13,"2.897,48",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-05-13
700038,90001,2025-05-16,"161,33",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-05-16
700100,90002,2025-05-18,"1.183,27",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-05-19
700196,90004,2025-05-18,"2.205,04",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-05-18
700133,90003,2025-05-20,"208,00",approved,ecom,,2025-09-30,0,,SMB,5691,2025-05-20
700039,90001,2025-05-23,"170,22",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-05-24
700101,90002,2025-05-24,"1.091,84",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-05-24
700197,90004,2025-05-24,"2.422,20",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-05-24
700040,90001,2025-05-30,"157,03",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-05-30
700102,90002,2025-05-30,"1.099,87",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-05-31
700134,90003,2025-05-30,"258,40",approved,pos,,2025-09-30,0,,SMB,5691,2025-05-30
700198,90004,2025-05-30,"2.947,23",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-05-30
700041,90001,2025-06-02,"139,07",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-06-02
700103,90002,2025-06-02,"1.114,20",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-06-02
700135,90003,2025-06-02,"244,10",reversed,ecom,,2025-09-30,0,,SMB,5691,2025-06-02
700199,90004,2025-06-02,"2.706,86",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-06-03
700104,90002,2025-06-07,"1.188,04",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-06-08
700200,90004,2025-06-07,"2.598,90",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-06-08
700042,90001,2025-06-08,"136,35",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-06-08
700136,90003,2025-06-11,"235,06",approved,ecom,,2025-09-30,0,,SMB,5691,2025-06-11
700105,90002,2025-06-12,"995,67",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-06-13
700201,90004,2025-06-12,"2.392,73",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-06-12
700043,90001,2025-06-15,"179,46",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-06-15
700106,90002,2025-06-18,"1.040,32",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-06-18
700202,90004,2025-06-18,"2.875,07",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-06-19
700137,90003,2025-06-20,"231,15",approved,pos,,2025-09-30,0,,SMB,5691,2025-06-21
700044,90001,2025-06-22,"149,37",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-06-23
700107,90002,2025-06-23,"1.298,64",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-06-24
700203,90004,2025-06-23,"2.467,49",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-06-23
700045,90001,2025-06-29,"147,66",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-06-29
700108,90002,2025-06-29,"1.104,89",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-06-30
700138,90003,2025-06-29,"204,20",approved,pos,,2025-09-30,0,,SMB,5691,2025-06-29
700204,90004,2025-06-29,"2.423,14",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-06-30
700046,90001,2025-07-02,"98,46",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-07-03
700109,90002,2025-07-02,"1.142,57",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-07-02
700139,90003,2025-07-02,"247,98",approved,ecom,,2025-09-30,0,,SMB,5691,2025-07-02
700205,90004,2025-07-02,"2.902,66",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-07-03
700110,90002,2025-07-07,"1.279,32",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-07-08
700206,90004,2025-07-07,"2.656,74",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-07-08
700047,90001,2025-07-11,"124,22",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-07-11
700140,90003,2025-07-11,"258,35",approved,pos,,2025-09-30,0,,SMB,5691,2025-07-12
700111,90002,2025-07-13,"1.047,96",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-07-14
700207,90004,2025-07-13,"2.906,06",reversed,ecom,,2025-09-30,0,,Enterprise,5812,2025-07-14
700112,90002,2025-07-18,"990,07",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-07-19
700208,90004,2025-07-18,"2.406,90",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-07-19
700048,90001,2025-07-20,"97,24",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-07-20
700141,90003,2025-07-20,"221,80",approved,ecom,,2025-09-30,0,,SMB,5691,2025-07-20
700113,90002,2025-07-24,"1.018,61",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-07-25
700209,90004,2025-07-24,"2.777,06",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-07-24
700049,90001,2025-07-30,"103,55",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-07-31
700114,90002,2025-07-30,"1.299,02",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-07-31
700142,90003,2025-07-30,"201,56",approved,pos,,2025-09-30,0,,SMB,5691,2025-07-30
700210,90004,2025-07-30,"2.612,33",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-07-31
700050,90001,2025-08-02,"57,92",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-08-02
700115,90002,2025-08-02,"1.269,54",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-08-03
700143,90003,2025-08-02,"251,53",approved,ecom,,2025-09-30,0,,SMB,5691,2025-08-03
700211,90004,2025-08-02,"2.932,80",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-08-03
700116,90002,2025-08-07,"1.137,70",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-08-08
700212,90004,2025-08-07,"2.256,16",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-08-07
700144,90003,2025-08-11,"242,19",approved,pos,,2025-09-30,0,,SMB,5691,2025-08-11
700117,90002,2025-08-13,"1.247,10",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-08-14
700213,90004,2025-08-13,"2.303,26",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-08-14
700051,90001,2025-08-16,"62,91",denied,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-08-16
700118,90002,2025-08-18,"1.134,17",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-08-19
700214,90004,2025-08-18,"2.758,67",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-08-19
700145,90003,2025-08-20,"255,23",approved,ecom,,2025-09-30,0,,SMB,5691,2025-08-21
700119,90002,2025-08-24,"1.092,53",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-08-24
700215,90004,2025-08-24,"2.999,68",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-08-25
700052,90001,2025-08-30,"66,92",reversed,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-08-30
700120,90002,2025-08-30,"1.114,47",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-08-31
700146,90003,2025-08-30,"240,40",approved,pos,,2025-09-30,0,,SMB,5691,2025-08-31
700216,90004,2025-08-30,"2.934,93",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-08-31
700053,90001,2025-09-02,"27,07",denied,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-09-03
700121,90002,2025-09-02,"1.133,19",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-09-02
700147,90003,2025-09-02,"210,45",approved,pos,,2025-09-30,0,,SMB,5691,2025-09-03
700217,90004,2025-09-02,"3.061,54",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-09-02
700122,90002,2025-09-07,"1.281,90",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-09-07
700218,90004,2025-09-07,"2.872,09",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-09-07
700148,90003,2025-09-11,"230,64",approved,ecom,,2025-09-30,0,,SMB,5691,2025-09-12
700123,90002,2025-09-12,"1.290,23",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-09-12
700219,90004,2025-09-12,"2.819,05",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-09-12
700124,90002,2025-09-18,"1.320,30",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-09-19
700220,90004,2025-09-18,"2.498,86",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-09-19
700149,90003,2025-09-20,"257,70",approved,ecom,,2025-09-30,0,,SMB,5691,2025-09-21
700125,90002,2025-09-23,"1.178,86",approved,pos,,2025-09-30,0,,Enterprise,5411,2025-09-23
700221,90004,2025-09-23,"2.716,69",approved,ecom,,2025-09-30,0,,Enterprise,5812,2025-09-23
700054,90001,2025-09-29,"23,87",denied,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2025-09-29
700126,90002,2025-09-29,"1.161,38",approved,ecom,,2025-09-30,0,,Enterprise,5411,2025-09-30
700150,90003,2025-09-29,"215,19",approved,pos,,2025-09-30,0,,SMB,5691,2025-09-30
700222,90004,2025-09-29,"2.751,51",approved,pos,,2025-09-30,0,,Enterprise,5812,2025-09-30
