merchant_id,risk_score,top_signal
10001663,0.8,tpv_drop
10001665,0.8,tpv_drop
10005107,0.8,tpv_drop
10005194,0.8,tpv_drop
10005196,0.8,tpv_drop
10005183,0.8,tpv_drop
10001644,0.8,tpv_drop
10001645,0.8,tpv_drop
10001648,0.8,tpv_drop
10001649,0.8,tpv_drop
10001636,0.8,tpv_drop
10005063,0.8,tpv_drop
10005037,0.8,tpv_drop
10005039,0.8,tpv_drop
10005041,0.8,tpv_drop
10005030,0.8,tpv_drop
10005031,0.8,tpv_drop
10005034,0.8,tpv_drop
10005035,0.8,tpv_drop
10005076,0.8,tpv_drop
10005062,0.8,tpv_drop
10005049,0.8,tpv_drop
10004548,0.8,tpv_drop
10004533,0.8,tpv_drop
10004621,0.8,tpv_drop
10004627,0.8,tpv_drop
10004613,0.8,tpv_drop
10004614,0.8,tpv_drop
10004619,0.8,tpv_drop
10004610,0.8,tpv_drop
10005283,0.8,tpv_drop
10004577,0.8,tpv_drop
10001836,0.8,tpv_drop
10001822,0.8,tpv_drop
10001824,0.8,tpv_drop
10001828,0.8,tpv_drop
10001815,0.8,tpv_drop
